,Predicted,state,year
0,54.2803093083,AL,1988
1,45.7478072728,AK,1988
2,51.3291823852,AZ,1988
3,53.6417734977,AR,1988
4,49.1447805052,CA,1988
5,49.2023910698,CO,1988
6,46.4067868333,CT,1988
7,48.0253405299,DE,1988
8,46.5368932877,DC,1988
9,50.8077787088,FL,1988
10,53.6099206861,GA,1988
11,50.2111591654,HI,1988
12,49.8548342603,ID,1988
13,49.0162708016,IL,1988
14,48.0455435475,IN,1988
15,50.1987301561,IA,1988
16,50.1108980473,KS,1988
17,53.0224225763,KY,1988
18,51.4869413269,LA,1988
19,49.5384498695,ME,1988
20,49.5431568333,MD,1988
21,47.033069687,MA,1988
22,49.5389168957,MI,1988
23,49.5225658587,MN,1988
24,53.8932560318,MS,1988
25,50.1710832022,MO,1988
26,50.1185650111,MT,1988
27,51.0911006567,NE,1988
28,45.2013211746,NV,1988
29,48.5431878896,NH,1988
30,47.2008224469,NJ,1988
31,53.7018674432,NM,1988
32,47.4047876023,NY,1988
33,53.3905932593,NC,1988
34,52.2769225938,ND,1988
35,48.5844260086,OH,1988
36,52.1184522408,OK,1988
37,48.7192348559,OR,1988
38,48.0201650646,PA,1988
39,48.2355183571,RI,1988
40,53.2011824465,SC,1988
41,51.384446679,SD,1988
42,53.6247904675,TN,1988
43,52.7241766236,TX,1988
44,49.1421176324,UT,1988
45,48.6416584606,VT,1988
46,52.9291389295,VA,1988
47,48.9871364535,WA,1988
48,51.3335141993,WV,1988
49,49.7700522282,WI,1988
50,49.3374160738,WY,1988
51,54.1775664029,AL,1992
52,44.4357402543,AK,1992
53,51.2831459544,AZ,1992
54,54.3299346063,AR,1992
55,49.4013891162,CA,1992
56,49.6602381323,CO,1992
57,45.7865032509,CT,1992
58,46.6822207404,DE,1992
59,45.9375176664,DC,1992
60,50.638693244,FL,1992
61,53.8907598626,GA,1992
62,50.7415081634,HI,1992
63,51.6631180977,ID,1992
64,48.3645628598,IL,1992
65,48.1906338395,IN,1992
66,51.536276386,IA,1992
67,51.0018927752,KS,1992
68,51.9182678288,KY,1992
69,51.8184247838,LA,1992
70,48.6345569827,ME,1992
71,47.8287913152,MD,1992
72,45.4183524738,MA,1992
73,49.0630299787,MI,1992
74,50.357553554,MN,1992
75,54.7877426337,MS,1992
76,49.6875200759,MO,1992
77,51.231840927,MT,1992
78,51.9106625197,NE,1992
79,46.8676417598,NV,1992
80,47.9197242371,NH,1992
81,46.1937335951,NJ,1992
82,53.265260005,NM,1992
83,46.6366775098,NY,1992
84,53.2773219554,NC,1992
85,53.0302626546,ND,1992
86,48.0002902005,OH,1992
87,52.2383299412,OK,1992
88,50.247343839,OR,1992
89,46.936311988,PA,1992
90,45.9942519356,RI,1992
91,53.3155731176,SC,1992
92,52.555116429,SD,1992
93,53.0411908345,TN,1992
94,53.356588155,TX,1992
95,51.3307051912,UT,1992
96,48.3508724247,VT,1992
97,52.1017687521,VA,1992
98,50.6018904506,WA,1992
99,50.4492751971,WV,1992
100,49.303118006,WI,1992
101,50.2111645384,WY,1992
102,55.8609529583,AL,1996
103,46.1558874117,AK,1996
104,51.692942775,AZ,1996
105,55.6345533848,AR,1996
106,48.7491962415,CA,1996
107,49.8663633898,CO,1996
108,43.9852296625,CT,1996
109,45.3585160638,DE,1996
110,45.8952667749,DC,1996
111,51.086727949,FL,1996
112,55.2395326716,GA,1996
113,52.1800596105,HI,1996
114,51.6120395229,ID,1996
115,47.8687442829,IL,1996
116,48.6491382405,IN,1996
117,51.5777411844,IA,1996
118,50.8529732747,KS,1996
119,52.5589389425,KY,1996
120,53.1953404609,LA,1996
121,47.5799848162,ME,1996
122,48.1095232913,MD,1996
123,43.1459614294,MA,1996
124,48.5406718356,MI,1996
125,50.2626252011,MN,1996
126,57.355629679,MS,1996
127,50.1133701133,MO,1996
128,50.7716358517,MT,1996
129,50.9254052931,NE,1996
130,44.9661256064,NV,1996
131,46.1191106902,NH,1996
132,44.8891287797,NJ,1996
133,53.0227242379,NM,1996
134,45.959299747,NY,1996
135,54.8478624594,NC,1996
136,54.2681461773,ND,1996
137,48.0523591431,OH,1996
138,52.4282587913,OK,1996
139,50.0137259685,OR,1996
140,46.4088781718,PA,1996
141,43.0861603734,RI,1996
142,55.3778486644,SC,1996
143,53.053947818,SD,1996
144,54.2058479403,TN,1996
145,54.2676258378,TX,1996
146,52.2846024606,UT,1996
147,46.9619498436,VT,1996
148,52.5095201959,VA,1996
149,50.1507835709,WA,1996
150,50.6331190466,WV,1996
151,48.7649343932,WI,1996
152,48.5059449127,WY,1996
153,55.367172729,AL,2000
154,47.1181169608,AK,2000
155,51.9427969891,AZ,2000
156,56.0195079944,AR,2000
157,48.8550749163,CA,2000
158,50.640924442,CO,2000
159,42.7539614412,CT,2000
160,43.5850410707,DE,2000
161,45.2674849197,DC,2000
162,50.9454080825,FL,2000
163,54.9008587738,GA,2000
164,51.5981349985,HI,2000
165,53.4473912202,ID,2000
166,47.5238029671,IL,2000
167,50.0536822603,IN,2000
168,52.3889086323,IA,2000
169,52.4296294629,KS,2000
170,52.9809755469,KY,2000
171,53.0672914169,LA,2000
172,47.8514454618,ME,2000
173,46.8014601391,MD,2000
174,40.2742952617,MA,2000
175,48.9978920183,MI,2000
176,50.0517938877,MN,2000
177,56.6299220907,MS,2000
178,50.633025365,MO,2000
179,51.6929912395,MT,2000
180,51.5164640225,NE,2000
181,46.3378882277,NV,2000
182,45.4422244754,NH,2000
183,42.8923372465,NJ,2000
184,52.7826343096,NM,2000
185,44.565266016,NY,2000
186,54.6688212582,NC,2000
187,54.7353208035,ND,2000
188,48.6164585117,OH,2000
189,53.0390345848,OK,2000
190,51.4277799867,OR,2000
191,45.3161041803,PA,2000
192,40.0163860717,RI,2000
193,54.8928863582,SC,2000
194,53.9199083742,SD,2000
195,54.3391011942,TN,2000
196,54.4311194541,TX,2000
197,53.1191300015,UT,2000
198,47.2274866712,VT,2000
199,51.9564472812,VA,2000
200,50.8842481379,WA,2000
201,51.2556950648,WV,2000
202,48.6879833776,WI,2000
203,49.7131412453,WY,2000
204,54.5903596688,AL,2004
205,47.6265033989,AK,2004
206,52.3126534029,AZ,2004
207,55.6554416455,AR,2004
208,50.294959947,CA,2004
209,51.5271976219,CO,2004
210,41.1749359797,CT,2004
211,42.5488017761,DE,2004
212,44.8775935911,DC,2004
213,51.0141397498,FL,2004
214,54.5164561598,GA,2004
215,52.4579386341,HI,2004
216,55.0991622984,ID,2004
217,47.6608694866,IL,2004
218,51.0833825882,IN,2004
219,52.991444598,IA,2004
220,53.4993309117,KS,2004
221,52.5552587967,KY,2004
222,53.4969583628,LA,2004
223,47.0173417907,ME,2004
224,46.3183944472,MD,2004
225,38.1874226744,MA,2004
226,49.1413331857,MI,2004
227,49.7651144482,MN,2004
228,55.8420298009,MS,2004
229,50.8928938413,MO,2004
230,52.7723222184,MT,2004
231,51.7186498855,NE,2004
232,47.4221894023,NV,2004
233,44.0170189645,NH,2004
234,41.7003277194,NJ,2004
235,53.1497522631,NM,2004
236,43.9886455992,NY,2004
237,54.2098995125,NC,2004
238,55.1424607237,ND,2004
239,48.8713135286,OH,2004
240,54.4854634885,OK,2004
241,52.8298261859,OR,2004
242,44.6850182991,PA,2004
243,36.9939127799,RI,2004
244,53.7837010785,SC,2004
245,54.7510136844,SD,2004
246,54.0793107651,TN,2004
247,55.335281976,TX,2004
248,54.8853310653,UT,2004
249,45.5108783813,VT,2004
250,50.9259861914,VA,2004
251,52.267259646,WA,2004
252,50.6609787056,WV,2004
253,48.4961735352,WI,2004
254,50.7722227373,WY,2004
255,54.6990665505,AL,2008
256,47.2726754457,AK,2008
257,52.5438334203,AZ,2008
258,55.0216900992,AR,2008
259,50.9744453435,CA,2008
260,51.301779485,CO,2008
261,44.1114734144,CT,2008
262,45.0148316232,DE,2008
263,47.6783459078,DC,2008
264,51.9213514467,FL,2008
265,55.014265021,GA,2008
266,51.2857533569,HI,2008
267,52.6342700404,ID,2008
268,48.833502983,IL,2008
269,50.398333851,IN,2008
270,50.7338223523,IA,2008
271,51.8300624675,KS,2008
272,52.1091803161,KY,2008
273,53.6492107714,LA,2008
274,46.8789339606,ME,2008
275,48.2147406662,MD,2008
276,40.9554668863,MA,2008
277,49.0712083385,MI,2008
278,48.1093038955,MN,2008
279,55.9010862423,MS,2008
280,50.5806462165,MO,2008
281,51.0272257491,MT,2008
282,50.0437692535,NE,2008
283,48.241453363,NV,2008
284,44.4980396145,NH,2008
285,45.2823959132,NJ,2008
286,53.1814803305,NM,2008
287,46.595260145,NY,2008
288,54.5081633065,NC,2008
289,52.6048810608,ND,2008
290,49.0700110813,OH,2008
291,53.6479671488,OK,2008
292,51.5909679701,OR,2008
293,46.2957537294,PA,2008
294,38.7541705232,RI,2008
295,54.4854230446,SC,2008
296,52.2508717708,SD,2008
297,54.1896433156,TN,2008
298,55.3660429929,TX,2008
299,52.7061401852,UT,2008
300,45.3622649749,VT,2008
301,51.8835128594,VA,2008
302,51.2837412885,WA,2008
303,50.3245736615,WV,2008
304,47.2762680647,WI,2008
305,48.3935556941,WY,2008
306,54.8389662084,AL,2012
307,46.7579294802,AK,2012
308,52.0405311665,AZ,2012
309,55.5150087528,AR,2012
310,50.540572771,CA,2012
311,50.9703283154,CO,2012
312,42.2247615934,CT,2012
313,42.8849900315,DE,2012
314,46.8877229306,DC,2012
315,51.019179623,FL,2012
316,54.6753042237,GA,2012
317,51.7742981547,HI,2012
318,53.7999053611,ID,2012
319,48.4750861788,IL,2012
320,51.7086880967,IN,2012
321,52.8447274388,IA,2012
322,53.3288730156,KS,2012
323,47.236402497,ME,2012
324,47.0430957525,MD,2012
325,39.6077000905,MA,2012
326,55.6779642215,MS,2012
327,52.8459949032,KY,2012
328,54.8090487314,LA,2012
329,49.4559247738,MI,2012
330,49.10518861,MN,2012
331,51.4230309928,MO,2012
332,51.9833758589,MT,2012
333,51.384373419,NE,2012
334,46.9031360092,NV,2012
335,44.8290687837,NH,2012
336,42.9034987045,NJ,2012
337,52.1972657496,NM,2012
338,45.2312211781,NY,2012
339,54.3787083646,NC,2012
340,53.268288896,ND,2012
341,49.3832092269,OH,2012
342,54.2585858267,OK,2012
343,52.2434000109,OR,2012
344,45.5863568718,PA,2012
345,37.3728026843,RI,2012
346,54.0752391694,SC,2012
347,53.6282947828,SD,2012
348,53.9934918703,TN,2012
349,55.3054111586,TX,2012
350,53.1536302735,UT,2012
351,46.2988318009,VT,2012
352,50.6651429701,VA,2012
353,51.9694240927,WA,2012
354,50.6397797053,WV,2012
355,48.8465719121,WI,2012
356,47.6125239083,WY,2012
